RSSI_dBm,SNR_dB,Distance_km,Radiation_Wm2,Expected_Packets,Received_Packets,Packet_Loss,PDR_Percent
-113,-15,5.2499,1585,387,230,157,59.43
-127,-19,5.2725,1697,389,231,158,59.38
-126,-16,5.2826,553,391,232,159,59.34
-106,2,5.2941,1750,392,232,160,59.18
-124,-17,5.3137,834,394,233,161,59.14
-124,-4,5.3397,1454,396,234,162,59.09
-120,-11,5.3629,1223,397,234,163,58.94
-125,0,5.3753,1427,398,234,164,58.79
-110,3,5.3954,1199,399,234,165,58.65
-104,0,5.4189,953,401,235,166,58.60
-113,-8,5.4406,1725,403,236,167,58.56
-121,-4,5.4554,1121,404,236,168,58.42
-110,4,5.4823,1228,406,237,169,58.37
-124,-18,5.5058,1279,408,238,170,58.33
-109,1,5.5206,927,409,238,171,58.19
-120,-4,5.5310,1038,411,239,172,58.15
-110,1,5.5579,1756,413,240,173,58.11
-116,-18,5.5753,1402,415,241,174,58.07
-128,-12,5.5864,702,416,241,175,57.93
-109,-5,5.6023,1370,417,241,176,57.79
-121,0,5.6274,1627,419,242,177,57.76
-105,-5,5.6409,1527,420,242,178,57.62
-120,-18,5.6636,822,422,243,179,57.58
-113,-15,5.6910,1747,424,244,180,57.55
-126,2,5.7087,1725,425,244,181,57.41
-114,-3,5.7240,1440,426,244,182,57.28
-126,-6,5.7370,568,427,244,183,57.14
-126,-16,5.7482,1388,429,245,184,57.11
-118,-20,5.7670,614,430,245,185,56.98
-130,-13,5.7845,1751,432,246,186,56.94
-106,1,5.8136,1375,433,246,187,56.81
-127,-11,5.8311,1528,434,246,188,56.68
-125,-15,5.8558,1800,435,246,189,56.55
-110,2,5.8851,970,437,247,190,56.52
-102,1,5.9125,1419,439,248,191,56.49
-109,4,5.9404,1242,440,248,192,56.36
-113,2,5.9541,679,442,249,193,56.33
-117,2,5.9827,1014,443,249,194,56.21
-125,-12,6.0002,1700,444,249,195,56.08
-111,-12,6.0160,1608,445,249,196,55.96
-128,-11,6.0334,1381,447,250,197,55.93
-113,2,6.0629,1747,449,251,198,55.90
-110,0,6.0826,1781,450,251,199,55.78
-105,-5,6.1083,1556,452,252,200,55.75
-109,-3,6.1271,611,454,253,201,55.73
-105,-2,6.1379,1045,455,253,202,55.60
-102,3,6.1575,1104,457,254,203,55.58
-109,0,6.1707,1488,459,255,204,55.56
-108,2,6.2004,1403,461,256,205,55.53
-102,2,6.2132,1651,462,256,206,55.41
-108,4,6.2247,699,463,256,207,55.29
-112,-9,6.2451,1020,465,257,208,55.27
-105,-1,6.2595,703,466,257,209,55.15
-121,-7,6.2813,1079,468,258,210,55.13
-103,2,6.2952,518,470,259,211,55.11
-115,-14,6.3063,745,472,260,212,55.08
-130,-8,6.3215,845,474,261,213,55.06
-102,3,6.3471,669,476,262,214,55.04
-105,3,6.3587,806,477,262,215,54.93
-107,-2,6.3858,817,478,262,216,54.81
-107,4,6.3971,1119,480,263,217,54.79
-105,1,6.4195,904,481,263,218,54.68
-111,-20,6.4477,1193,482,263,219,54.56
-109,-4,6.4648,754,484,264,220,54.55
-102,4,6.4857,1064,485,264,221,54.43
-125,2,6.4975,1108,487,265,222,54.41
-118,-11,6.5153,703,488,265,223,54.30
-105,-5,6.5267,1423,489,265,224,54.19
-119,-18,6.5402,1673,490,265,225,54.08
-111,-9,6.5616,1220,492,266,226,54.07
-121,-18,6.5892,1484,493,266,227,53.96
-118,-17,6.6188,1654,495,267,228,53.94
-102,0,6.6379,1279,496,267,229,53.83
-112,-17,6.6610,1000,498,268,230,53.82
-123,-9,6.6873,1452,500,269,231,53.80
-125,0,6.7054,1529,501,269,232,53.69
-127,-11,6.7245,1692,503,270,233,53.68
-130,-11,6.7390,1331,505,271,234,53.66
-124,-17,6.7566,793,506,271,235,53.56
-110,-1,6.7730,1384,508,272,236,53.54
-107,-4,6.7902,512,509,272,237,53.44
-112,-1,6.8124,1305,511,273,238,53.42
-120,-15,6.8319,1467,513,274,239,53.41
-106,-3,6.8495,1165,514,274,240,53.31
-105,1,6.8618,1367,515,274,241,53.20
-111,-12,6.8806,1774,517,275,242,53.19
-105,4,6.9012,1714,519,276,243,53.18
-112,-16,6.9139,1073,520,276,244,53.08
-112,-10,6.9336,1336,521,276,245,52.98
-106,-4,6.9547,1522,522,276,246,52.87
-109,2,6.9674,1700,524,277,247,52.86
-118,-4,6.9845,1794,525,277,248,52.76
-103,-5,7.0031,1481,527,278,249,52.75
-103,-1,7.0303,932,529,279,250,52.74
-121,-17,7.0544,1194,530,279,251,52.64
-103,-4,7.0770,1584,531,279,252,52.54
-125,-18,7.0887,1235,533,280,253,52.53
-107,-1,7.1111,1385,535,281,254,52.52
-112,-17,7.1405,1185,537,282,255,52.51
-115,-14,7.1609,1676,538,282,256,52.42
-128,-14,7.1879,1506,539,282,257,52.32
-112,-18,7.2122,806,540,282,258,52.22
-126,-10,7.2274,1444,541,282,259,52.13
-115,-15,7.2413,869,542,282,260,52.03
-129,-14,7.2614,1163,543,282,261,51.93
-116,-13,7.2747,856,545,283,262,51.93
-122,0,7.2853,664,546,283,263,51.83
-107,0,7.3150,1061,547,283,264,51.74
-120,-10,7.3315,1490,549,284,265,51.73
-105,1,7.3538,1155,550,284,266,51.64
-102,-1,7.3755,813,552,285,267,51.63
-107,-4,7.4037,1029,554,286,268,51.62
-103,0,7.4256,690,556,287,269,51.62
-114,-20,7.4518,1403,557,287,270,51.53
-128,-18,7.4632,1396,558,287,271,51.43
-104,4,7.4913,694,560,288,272,51.43
-107,0,7.5124,1180,562,289,273,51.42
-123,-14,7.5333,1059,564,290,274,51.42
-113,-11,7.5481,1421,566,291,275,51.41
-118,0,7.5737,812,568,292,276,51.41
-128,-19,7.6019,1634,570,293,277,51.40
-101,-3,7.6233,1129,571,293,278,51.31
-120,-4,7.6454,1545,573,294,279,51.31
-123,1,7.6650,1097,574,294,280,51.22
-113,-15,7.6881,1466,576,295,281,51.22
-127,2,7.7028,1046,577,295,282,51.13
-110,-2,7.7233,1238,578,295,283,51.04
-124,-13,7.7511,1508,579,295,284,50.95
-112,1,7.7771,1430,580,295,285,50.86
-123,-5,7.8013,1647,582,296,286,50.86
-114,-8,7.8165,1343,584,297,287,50.86
-110,-3,7.8437,621,586,298,288,50.85
-128,-15,7.8641,1164,588,299,289,50.85
-110,-4,7.8915,1487,590,300,290,50.85
-102,0,7.9178,879,592,301,291,50.84
-106,2,7.9290,1724,594,302,292,50.84
-125,-9,7.9506,892,596,303,293,50.84
-129,-20,7.9783,1290,598,304,294,50.84
-103,0,8.0035,1475,600,305,295,50.83
-113,-16,8.0302,1266,601,305,296,50.75
-104,4,8.0510,967,603,306,297,50.75
-118,-20,8.0614,1244,605,307,298,50.74
-108,4,8.0870,1703,607,308,299,50.74
-126,-3,8.1024,1714,608,308,300,50.66
